Time,"Acpitz,0","Acpitz,1",PackageId0,"Core0,Pkg0","Core1,Pkg0","Core2,Pkg0","Core3,Pkg0",Avg,Core 0,Core 1,Core 2,Core 3,package-0,"core,Pkg0","uncore,Pkg0","dram,Pkg0"
2022-03-17_05:07:24,27.8,29.8,51.0,51.0,44.0,43.0,43.0,29.1,56.6,5.8,33.2,20.2,31.0,18.9,0.0,5.2
2022-03-17_05:07:26,27.8,29.8,52.0,43.0,44.0,45.0,52.0,29.1,39.2,4.9,8.8,63.3,31.0,18.9,0.0,5.2
2022-03-17_05:07:28,27.8,29.8,52.0,43.0,44.0,45.0,52.0,28.8,5.4,13.2,4.9,90.0,30.7,18.7,0.0,5.2
2022-03-17_05:07:30,27.8,29.8,52.0,43.0,44.0,46.0,52.0,29.2,5.4,5.3,4.8,100.0,30.8,18.8,0.0,5.2
2022-03-17_05:07:32,27.8,29.8,52.0,43.0,44.0,46.0,52.0,28.7,3.9,3.9,5.8,99.5,30.8,18.8,0.0,5.2
2022-03-17_05:07:34,27.8,29.8,50.0,44.0,50.0,43.0,45.0,28.6,56.5,18.4,5.8,33.8,30.8,18.7,0.0,5.2
2022-03-17_05:07:36,27.8,29.8,51.0,45.0,51.0,45.0,45.0,29.4,7.6,100.0,4.4,6.2,31.0,18.8,0.0,5.1
2022-03-17_05:07:38,27.8,29.8,52.0,44.0,45.0,51.0,46.0,29.2,7.1,31.7,72.7,3.9,31.0,18.9,0.0,5.2
2022-03-17_05:07:40,27.8,29.8,51.0,44.0,45.0,50.0,47.0,29.0,5.8,4.8,100.0,5.3,30.8,18.7,0.0,5.2
2022-03-17_05:07:42,27.8,29.8,54.0,44.0,45.0,45.0,54.0,29.7,8.9,5.8,51.7,52.7,30.7,18.6,0.0,5.2
2022-03-17_05:07:44,27.8,29.8,53.0,43.0,44.0,45.0,53.0,29.6,4.4,7.6,6.2,99.5,30.7,18.6,0.0,5.2
2022-03-17_05:07:46,27.8,29.8,50.0,45.0,50.0,45.0,44.0,29.2,4.9,36.9,6.2,68.6,30.8,18.7,0.0,5.2
